,날짜,use_end_lng,use_end_lat,최저기온(°C),최고기온(°C),강수유무,주간/주말,대여자수
3311,1213,127.254081,36.492507,8.74,7.48,0,1,13.8
938,1213,127.239875,36.499373,8.74,7.48,0,1,1.47
1680,1213,127.304708,36.484171,8.74,7.48,0,1,1.33
2625,1213,127.245669,36.514281,8.74,7.48,0,1,0.7
3360,1213,127.27429,36.505758,8.74,7.48,0,1,-1.84
3164,1213,127.248864,36.498653,8.74,7.48,0,1,3.62
945,1213,127.259844,36.500817,8.74,7.48,0,1,60.52
952,1213,127.251984,36.490853,8.74,7.48,0,1,3.4
1673,1213,127.307685,36.49915,8.74,7.48,0,1,24.72
2632,1213,127.251742,36.516766,8.74,7.48,0,1,2.08
3346,1213,127.289957,36.480167,8.74,7.48,0,1,3.82
959,1213,127.247303,36.504762,8.74,7.48,0,1,9.32
3339,1213,127.256961,36.490977,8.74,7.48,0,1,58.59
966,1213,127.26829,36.480811,8.74,7.48,0,1,7.09
3353,1213,127.255838,36.497316,8.74,7.48,0,1,10.32
1652,1213,127.245599,36.489613,8.74,7.48,0,1,-1.04
2681,1213,127.289331,36.476651,8.74,7.48,0,1,27.67
1666,1213,127.315948,36.500299,8.74,7.48,0,1,8.66
2639,1213,127.258136,36.515974,8.74,7.48,0,1,11.36
980,1213,127.272031,36.501221,8.74,7.48,0,1,1.13
1659,1213,127.293226,36.609976,8.74,7.48,0,1,6.55
2646,1213,127.259256,36.514773,8.74,7.48,0,1,28.47
3318,1213,127.297462,36.482212,8.74,7.48,0,1,5.6
987,1213,127.259421,36.484841,8.74,7.48,0,1,17.78
994,1213,127.257046,36.495686,8.74,7.48,0,1,12.86
3122,1213,127.254921,36.474023,8.74,7.48,0,1,12.17
2660,1213,127.270002,36.504864,8.74,7.48,0,1,32.64
3248,1213,127.253096,36.51964,8.74,7.48,0,1,1.36
3178,1213,127.230843,36.507874,8.74,7.48,0,1,0.93
1127,1213,127.303015,36.490436,8.74,7.48,0,1,13.4
3171,1213,127.233817,36.505251,8.74,7.48,0,1,0.8
1134,1213,127.258506,36.506927,8.74,7.48,0,1,21.88
1582,1213,127.241438,36.504368,8.74,7.48,0,1,1.04
973,1213,127.263804,36.495494,8.74,7.48,0,1,39.95
